CNES,records
0002232,101955
3151794,75209
2323397,74417
2311682,64833
0026794,63700
2020068,59610
6627595,58139
2799278,57750
2077388,57055
7011857,50402
6303153,48546
2755165,48341
2344882,48078
2079186,46585
2362287,46006
2566168,45394
5718368,44066
2399644,43405
5703425,43387
0008036,42472
2715864,42362
2082209,42003
0009768,41829
0011843,41475
2270609,41370
2755157,40940
2006340,40868
2520524,40609
2723212,40518
2078562,39474
0020516,39458
2019558,39409
2027356,39294
2078104,38610
2040069,38426
6007317,38420
5731186,37880
2792168,37661
2319454,37591
3970442,37537
3004104,37487
0003840,37457
2802031,37353
2080052,36941
5420938,36337
7027397,36268
3012212,35473
2798662,35177
2237571,35082
2280248,35030
5616298,35013
2005026,34952
6020917,34721
2205440,34668
2091585,34483
2077620,34463
5717256,34178
0009628,34024
2017318,33763
2430711,33736
3508528,33559
2265052,33356
2562499,33093
2738368,32978
2005050,32621
2332671,32507
2270390,32242
2415488,31951
2408570,31848
2546027,31826
2077701,31792
2506858,31751
0003794,31739
0007684,31653
2702886,31497
3956369,31410
2361787,31310
2591049,31137
0026972,30970
2555646,30910
2410281,30379
2362821,30373
2436477,30289
0015369,30134
2289709,29966
0027863,29688
2579391,29542
2444828,29528
2615746,28856
2079828,28834
2076926,28601
2237601,28596
2400324,28559
2640244,28352
7041624,28298
2022621,28260
2522691,28252
2802090,28106
2592746,27896
2149990,27878
2428393,27877
2453665,27853
2611686,27852
2615835,27685
2802112,27574
2012480,27540
2552086,27427
2340992,27355
2423529,27252
2707527,27145
2020890,27067
0000701,27065
3083721,27056
2754843,26879
2000733,26719
3021114,26493
2126508,26459
2396866,26371
2786680,26356
2388057,26302
2084163,26222
5005027,26216
2298120,26212
4026896,25773
2077639,25692
6518893,25306
2452383,25261
2755092,25184
2010631,25025
2332620,24958
2470667,24948
2792141,24901
3972925,24901
6995462,24802
2079860,24736
2206528,24694
2473380,24687
2716097,24674
2678179,24627
2153084,24513
2753332,24380
2077671,24285
2806215,24237
2076896,24217
2295407,24015
2077477,23945
2402564,23943
2482339,23929
2082829,23701
2021064,23671
2619717,23650
0010472,23589
2338564,23470
2000296,23402
2712040,23383
2329905,23366
0027014,23128
2487411,23062
2080338,23014
2290227,22996
2079240,22959
2528711,22808
6601804,22673
2237253,22617
2262568,22543
2082225,22494
2503824,22418
0019283,22413
2603802,22333
2651351,22303
2525933,22192
2551764,22175
0000671,22151
2702983,22108
2080583,22086
3028399,22063
2065665,22048
6923356,22043
2426579,21945
2232081,21921
2077493,21856
2504332,21851
2270269,21724
6984649,21681
2315793,21636
2562545,21624
2270714,21573
2083981,21551
4009622,21520
2799286,21468
2356287,21423
2087804,21332
2287250,21328
2710935,21226
2712008,21175
2456958,21100
2002078,21085
3018172,21077
2082128,20940
2365146,20892
2066092,20739
5200105,20713
2711958,20665
2173166,20543
2079798,20519
2605414,20473
0016462,20423
2278324,20273
2452782,20167
2297590,20094
0012521,20021
3212130,19998
2232146,19868
2328399,19850
0007641,19840
2529068,19764
2589737,19717
2765942,19687
2192896,19645
2457776,19632
4014111,19568
2687127,19565
2562685,19517
6854729,19499
3139050,19449
2726653,19403
2351994,19250
2525569,19208
2091755,19141
6108547,19090
2191164,19084
2708779,19082
2795671,19082
8015899,19056
2790580,19047
2246988,18970
0027022,18962
2016923,18897
2080079,18812
0009725,18807
2457121,18777
2533480,18765
2329891,18752
2075962,18712
2006405,18703
2339080,18644
2079119,18626
2727064,18539
2340720,18509
0004170,18485
2418657,18451
2753278,18405
2146355,18226
2758164,18197
2010151,18126
2013258,18110
2495279,18101
2013029,17950
2772299,17939
2465833,17892
2376334,17843
2418665,17739
2484072,17673
3157245,17573
2705737,17535
2318628,17511
2077396,17492
2244306,17483
2222043,17469
