CNES,records
2079542,145888
3037274,115196
0002232,104346
0026794,103948
2323397,101776
2022621,99622
2311682,87691
2566168,87675
3151794,85960
2752700,82182
0009768,79796
3956369,79017
2020068,75223
2430711,69938
2399644,69412
2079186,68834
2452383,68718
2077388,66508
2362287,65666
0027871,62170
6627595,61493
2755165,60419
0000434,60096
6159397,59592
2040069,58618
2205440,58154
2280248,57842
2799278,57423
2436477,56974
2270609,56439
2309254,56117
2611686,55813
2149990,53532
2688611,53114
2755157,52780
7011857,52306
2295407,52084
3000907,51692
2410281,51609
2000733,51493
2077701,51424
2408570,50922
2551926,49698
0011843,49489
5714397,49060
0008036,48995
5703425,48599
2019558,48283
6303153,48250
2814188,48127
2344882,47918
3021114,47875
3702693,47796
2470667,47561
5718368,46680
2115891,46265
2078791,46132
2006340,45592
2080052,45552
2351994,44967
2078104,44818
6007317,44743
2481286,44444
2715864,44157
2027356,44021
2786680,43976
2065665,43916
6518893,43723
2520524,42994
2270714,42962
2319454,42933
0003840,42876
0027944,42721
5717256,42657
2723212,42528
2525569,42323
2058391,42301
6020917,42257
2499363,42183
3006522,42078
2402564,41864
2237571,41606
2409208,41474
0020516,41403
2002078,41334
2206528,41225
0003794,41059
2591049,40544
2396866,40428
2792168,40321
3004104,40264
2802031,40111
2077396,40057
2005050,40010
3012212,39426
2078562,39404
2265052,39371
2332671,39246
0026972,38920
2427427,38906
0002593,38903
2005026,38755
2546027,38725
7027397,38558
2362821,38452
2702886,38400
2289709,38146
2415488,37766
5731186,37693
0027014,37499
2361787,37486
0004170,37448
2552086,37400
0010472,37351
0019283,37149
2298120,36971
0000418,36946
0009628,36936
3508528,36611
2017318,36609
5420938,36394
2605414,36241
2080338,36004
2237601,35971
2237253,35918
2020890,35578
2594714,35491
2453665,35402
2555646,35402
2522691,35313
3000869,35297
4001303,35246
2091585,35209
2705982,35068
2237598,35065
5616298,34977
5332427,34925
2079828,34689
5073898,34647
0007684,34523
0015717,34513
2562499,34498
2077620,34326
2191164,34113
2298317,33936
6936040,33921
2738368,33877
2754843,33550
2790580,33507
2415631,33413
2707527,33380
2012480,33181
2806215,33161
2711613,33079
2726653,33022
2506858,33006
2792141,32997
7041624,32971
2082829,32843
2089602,32802
2270390,32586
2789590,32564
6995462,32547
2080931,32419
2297590,31931
2082209,31915
2079240,31689
5407591,31633
2066092,31540
2615746,31526
2208172,31371
2292157,31301
2518392,31284
2802112,31282
2765942,31255
7591136,31098
2246988,30982
2579391,30972
