CNES,repeted
2002043,163
2002159,163
3006166,163
3382745,163
3393984,163
2001020,163
2003066,163
2001349,163
2001357,163
2001454,163
2001462,163
2001470,163
2001497,163
2001500,163
2001551,163
3042553,163
3518655,163
2002884,163
3516822,163
2001039,163
2002892,163
2002906,163
2000172,163
2000202,163
2000237,163
2000245,163
2000261,163
2000288,163
2000296,163
2000318,163
2000326,163
2000334,163
2000342,163
2000350,163
2000369,163
2000539,163
2000547,163
2000555,163
2000571,163
2000598,163
2000601,163
2000628,163
2001896,163
2002299,163
2002914,163
2001314,163
2001322,163
2001330,163
2003090,163
2003112,163
2003139,163
2003147,163
2000040,163
2000059,163
2000067,163
2000636,163
2002825,163
3544915,163
2000083,163
2000091,163
2000105,163
2002205,163
2002272,163
2000954,163
2000962,163
2000970,163
2002140,163
2002132,163
2000822,163
2000989,163
2000997,163
2002930,163
3519953,163
2000075,163
2000385,163
2000415,163
2000431,163
2000458,163
2000466,163
2000482,163
2000490,163
2000520,163
2000733,163
2000768,163
2000806,163
2000814,163
2000830,163
2000857,163
2001012,163
2001063,163
2001306,163
2001527,163
2001578,163
2001586,163
2001608,163
2001624,163
2001667,163
2001675,163
2001691,163
2001705,163
2001713,163
2001810,163
2001829,163
2001837,163
2001853,163
2002051,163
2002078,163
2002094,163
2002701,163
2002779,163
2002809,163
2002833,163
2003007,163
2003015,163
2003031,163
2003058,163
2003155,163
2003171,163
2003198,163
2003201,163
2003228,163
2003236,163
2003252,163
2003279,163
2003287,163
2306352,163
2306379,163
2306387,163
3015440,163
3015475,163
3015513,163
3015521,163
3015548,163
3015556,163
3054926,163
3331776,163
3331784,163
3331792,163
3331806,163
3331814,163
3331857,163
3331865,163
3331881,163
3331911,163
3331946,163
3331954,163
3449300,163
3542734,163
2000016,163
2000024,163
2001772,163
2000660,163
2000679,163
2000687,163
2000725,163
2002507,163
2002515,163
2002523,163
2002531,163
2000865,163
2000873,163
2000881,163
2000903,163
2000911,163
2000938,163
2002566,163
3007367,163
3449432,163
3541592,163
2000113,163
2000121,163
2000148,163
2000156,163
2000164,163
3462366,163
2000393,163
2000407,163
2001217,163
2001225,163
2001233,163
2001934,163
2000504,163
2001128,163
3323293,163
3323307,163
2058812,162
2031299,162
2025833,162
2077647,162
2082446,162
2083612,162
2083663,162
2083671,162
2083922,162
2083930,162
2044021,162
2027755,162
2032511,162
2065002,162
2065290,162
2077884,162
2749025,162
2749122,162
2033720,162
2077558,162
2050153,162
2076314,162
2038307,162
2748606,162
2042479,162
2774720,162
2790092,162
2791137,162
2791331,162
2791447,162
3285936,162
2053098,162
2053144,162
2060531,162
2063964,162
2034743,162
2073544,162
2074184,162
2094126,162
2094134,162
2094150,162
2784505,162
2784521,162
3045137,162
2035448,162
2056429,162
2081806,162
2051885,162
2055619,162
2080508,162
2750589,162
2750880,162
2750902,162
2751119,162
2751127,162
3479692,162
3479706,162
2823934,162
2030365,162
2027992,162
2028026,162
2028034,162
2028042,162
2030748,162
2034271,162
2040530,162
2042584,162
2042592,162
2047020,162
2047039,162
2047047,162
2047969,162
2047985,162
2047993,162
2048205,162
2058790,162
2066289,162
2066807,162
2067633,162
2073331,162
2073420,162
2074923,162
2075040,162
2081733,162
2082179,162
2688239,162
2688247,162
2688263,162
2716607,162
3045102,162
2040387,162
2079194,162
2090171,162
2716577,162
2026244,162
2026325,162
2028018,162
2028166,162
2033712,162
2040522,162
2040557,162
2042576,162
2042614,162
2042649,162
2046156,162
2050749,162
2065584,162
2066599,162
2066602,162
2073323,162
2078848,162
2082195,162
3272141,162
3368734,162
3493199,162
2039095,162
2033127,162
2036932,162
2038285,162
2075725,162
2082691,162
2052016,162
2054000,162
2061023,162
2064251,162
2073900,162
2082748,162
2749238,162
3376311,162
2063107,162
2071398,162
2044676,162
2030608,162
2036320,162
2040220,162
2048698,162
2083051,162
4046811,162
4046854,162
4046862,162
4046870,162
4046889,162
2078937,162
2044919,162
2049279,162
2049872,162
2054310,162
2059479,162
2063034,162
2065525,162
2082098,162
3009483,162
2059444,162
2028700,162
2030020,162
2030055,162
2031558,162
2031981,162
2032414,162
2032422,162
2035472,162
2036738,162
2037106,162
2038102,162
2039036,162
2039060,162
2039079,162
2041111,162
2043866,162
2043874,162
2043890,162
2044765,162
2047861,162
2048973,162
2053209,162
2053225,162
2056151,162
2058960,162
2059320,162
2063840,162
2066866,162
2067552,162
2067994,162
2070111,162
2071649,162
2075741,162
2077566,162
2078775,162
2082675,162
3005003,162
3048454,162
3421481,162
3441385,162
2048825,162
2052121,162
2057824,162
2061929,162
2088428,162
2033658,162
2077159,162
2745976,162
2052628,162
2077515,162
2074672,162
2032406,162
2032708,162
2032716,162
2040441,162
2042487,162
2046105,162
2046954,162
2050331,162
2057395,162
2062585,162
2063247,162
2063255,162
2063271,162
2064731,162
2064782,162
2064804,162
2065304,162
2071851,162
2074052,162
2074745,162
2074753,162
2075776,162
2075784,162
2079763,162
2082527,162
2092360,162
2092409,162
2747227,162
2747286,162
2797712,162
2797720,162
2797739,162
2797747,162
2825244,162
2825368,162
3089614,162
3089622,162
3089657,162
3092402,162
3320898,162
3549399,162
4047184,162
2022737,162
2024896,162
2024918,162
2024926,162
2024934,162
2038358,162
2049414,162
2049422,162
2065320,162
2066467,162
2066769,162
2066998,162
2067005,162
2067048,162
2067056,162
2067560,162
2067587,162
2070464,162
2081253,162
2082470,162
2799375,162
2800764,162
3383504,162
3540049,162
3583686,162
2063239,162
2785595,162
2791358,162
2791668,162
2073021,162
2093200,162
3025276,162
2051931,162
2080141,162
2037297,162
2046148,162
2046199,162
2057115,162
2063549,162
2064979,162
2074788,162
2092689,162
2749599,162
2749602,162
2750015,162
2750031,162
2093340,162
2024624,162
2024942,162
2024969,162
2028689,162
2036371,162
2038145,162
2041065,162
2044234,162
2046733,162
2049600,162
2052326,162
2066556,162
2066793,162
2067226,162
2067277,162
2067374,162
2067706,162
2075806,162
2081083,162
2083094,162
2084643,162
2707217,162
2754800,162
2792354,162
4047230,162
8006539,162
8008817,162
2039737,162
2039745,162
2039753,162
2039761,162
2057182,162
2057190,162
2063476,162
2063492,162
2066300,162
2066327,162
2066335,162
2066343,162
2066629,162
2067315,162
2067404,162
2074796,162
3251519,162
3558444,162
2053217,162
2058928,162
2063700,162
2065142,162
2081768,162
2790106,162
2029197,162
2030721,162
2065150,162
2766264,162
2766272,162
2766280,162
3457664,162
2025841,162
2025868,162
2025876,162
2025884,162
2025892,162
2028778,162
2046512,162
2046520,162
2059002,162
2059010,162
2059029,162
2064561,162
2083604,162
2092115,162
2092123,162
3155692,162
3240630,162
8015856,162
8015872,162
8015880,162
2028611,162
2071738,162
2790114,162
2033038,162
2058669,162
2058693,162
2058707,162
2087642,162
2090198,162
2090228,162
2785617,162
2790076,162
2790157,162
2791587,162
2791676,162
2791854,162
2082632,162
2790165,162
2791099,162
2791382,162
2791390,162
2791986,162
2072599,162
2072602,162
2072629,162
2093049,162
2035731,162
2043211,162
2048736,162
2048744,162
2052970,162
2053314,162
2053322,162
2054930,162
2056062,162
2061473,162
2064081,162
2064103,162
2074176,162
2090236,162
2092581,162
2092603,162
2092611,162
2093642,162
2093650,162
2093669,162
2093677,162
2784572,162
2784580,162
2784599,162
2049813,162
2052725,162
2062208,162
2062240,162
3450503,162
2023881,162
2023903,162
2023911,162
2023938,162
2023946,162
2023954,162
2023962,162
2023970,162
2023989,162
2024004,162
2024012,162
2024020,162
2024039,162
2024047,162
2024373,162
2024381,162
2024403,162
2082209,162
2096129,162
2096137,162
3040623,162
3383792,162
2035154,162
2044366,162
2058987,162
2092891,162
2092980,162
2745313,162
2024977,162
2028999,162
2031752,162
2032244,162
2033887,162
2038188,162
2047292,162
2047578,162
2051540,162
2071479,162
2082853,162
3053660,162
2034565,162
2044242,162
2044978,162
2050110,162
2050129,162
2052709,162
2055201,162
2060132,162
2061120,162
2062151,162
2062178,162
2072955,162
2073935,162
2084686,162
2084694,162
2084708,162
2084724,162
2088991,162
2785501,162
2789752,162
2789825,162
2789981,162
2790009,162
