res_cod_municipio,int_cod_municipio,records
355030,355030,789130
330455,330455,358173
130260,130260,296680
230440,230440,196059
292740,292740,165847
310620,310620,123933
150140,150140,120673
431490,431490,104714
410690,410690,100198
270430,270430,93161
520870,520870,88972
351880,351880,88679
221100,221100,85845
500270,500270,84319
211130,211130,80541
291080,291080,74327
160030,160030,71835
261160,261160,66192
250750,250750,63477
350950,350950,62485
330170,330170,60597
150680,150680,54359
510340,510340,53858
240810,240810,51423
280030,280030,49162
354990,354990,47281
317020,317020,43422
110020,110020,43419
120040,120040,41214
150080,150080,41108
353440,353440,40954
355220,355220,39090
250400,250400,38759
354870,354870,37653
150420,150420,37551
520110,520110,35528
351060,351060,35346
350570,350570,34961
293330,293330,34789
314330,314330,34084
352310,352310,33693
330490,330490,32502
140010,140010,32115
353060,353060,31585
313670,313670,31510
354780,354780,31069
410480,410480,30615
260410,260410,30435
270030,270030,30423
351380,351380,29685
230730,230730,29550
230765,230765,29462
430460,430460,29435
172100,172100,29325
330100,330100,28839
431440,431440,28712
411370,411370,28661
310670,310670,28656
410830,410830,28215
354340,354340,27973
320520,320520,27958
430510,430510,27534
520140,520140,27518
150553,150553,27123
351870,351870,26620
150240,150240,26556
330350,330350,26422
320130,320130,26413
291840,291840,26310
411990,411990,25874
170210,170210,25387
312770,312770,25191
420540,420540,25145
352250,352250,24822
420910,420910,24811
290320,290320,24348
260790,260790,24202
261110,261110,24081
290570,290570,23969
352590,352590,23823
292530,292530,23810
354980,354980,23558
355280,355280,23123
510840,510340,22808
354100,354100,22757
510760,510760,22606
352940,352940,22327
355250,355250,21959
410580,410580,21927
220770,220770,21745
231290,231290,21730
353870,353870,21572
500370,500370,21340
430060,430060,20654
410940,410940,20522
291360,291360,20196
210300,210300,20179
230370,230370,20133
293135,293135,19933
420820,420820,19814
240325,240325,19752
320500,320500,19710
130340,130340,19693
330045,330045,19653
351300,351300,19633
240800,240800,19613
412550,412550,19528
260960,260960,19490
330510,330510,19403
320530,320530,19390
355240,355240,19294
431690,431690,19272
150210,150210,19237
431340,431340,19081
431410,431410,18945
354850,354850,18870
350600,350600,18852
130190,130190,18831
355100,355100,18657
431560,431560,18573
291480,291480,18124
150010,150010,18098
330330,330330,18052
291800,291800,18048
311860,311860,17890
510790,510790,17784
351630,351630,17767
150180,150180,17534
211220,211220,17373
420240,420240,17356
230420,230420,17311
315460,310620,17149
330250,330250,17089
150550,150550,16625
130250,130250,16622
260600,260600,16557
210330,210330,16466
352220,352220,16296
150060,150060,16197
150170,150170,16195
313130,313130,16143
150810,150810,16135
251370,251370,16122
260790,261160,16014
431870,431870,15957
130420,130420,15841
150360,150360,15838
353800,353800,15837
290070,290070,15739
521880,521880,15721
351620,351620,15547
210480,210480,15467
521250,530010,15461
150130,150130,15430
410180,410180,15202
316720,316720,15175
160060,160060,15092
280480,280030,15092
500320,500320,15000
330350,330285,14875
411520,411520,14874
330390,330390,14861
420930,420930,14861
110012,110012,14704
120020,120020,14646
230370,230440,14547
320500,320530,14543
130120,130120,14541
150080,150140,14522
320120,320120,14512
420460,420460,14402
320320,320320,14315
352230,352230,14310
432300,431490,14274
317010,317010,14210
210530,210530,14159
411820,411820,13818
230640,230640,13765
291072,291072,13679
260110,260110,13665
352050,352050,13645
520025,530010,13578
330630,330630,13451
330580,330580,13408
420420,420420,13274
330240,330240,13114
351500,355280,13106
351907,351907,13053
210140,210140,12987
354890,354890,12833
210860,210860,12825
210320,210320,12813
292400,292400,12766
293290,293290,12761
520140,520870,12745
330010,330010,12738
410040,410690,12717
150795,150795,12602
150613,150613,12499
432240,432240,12459
320490,320490,12313
500660,500660,12293
352690,352690,12290
522185,530010,12116
150800,150800,12071
315780,310620,12067
330190,330190,12042
210160,210160,11951
522045,522045,11938
330070,330070,11905
351500,351500,11904
210990,210990,11866
330045,330285,11762
352210,352210,11711
350320,350320,11708
351050,351050,11695
330350,330045,11662
150530,150530,11613
210540,210540,11591
355400,355400,11568
270630,270630,11540
352900,352900,11422
211120,211120,11409
261000,261000,11315
510250,510250,11297
430920,430920,11239
355410,355410,11235
520800,520800,11230
354580,354580,11203
261390,261390,11135
350160,350160,11116
210005,210005,11057
130290,130290,11036
351570,351570,10952
521523,530010,10919
421660,421660,10906
311860,310620,10864
421190,421660,10783
210120,210120,10776
261640,261640,10554
352390,352390,10551
312230,312230,10504
231130,231130,10494
500830,500830,10475
312980,312980,10390
293070,293070,10280
431680,431680,10266
432000,432000,10260
412770,412770,10109
230550,230550,10047
291955,291955,9846
320130,320530,9845
270930,270930,9790
210232,210232,9684
350410,350410,9675
350450,350450,9659
430160,430160,9598
231140,231140,9514
316860,316860,9492
315460,315460,9491
292870,292870,9472
150580,150580,9465
354140,354140,9453
352530,352530,9450
351350,351350,9444
290390,290390,9372
330040,330040,9370
260990,260990,9308
320240,320240,9305
430310,430310,9270
510792,510792,9260
355070,355070,9247
420290,420290,9223
350760,350760,9218
510795,510795,9218
241200,241200,9209
290600,290600,9205
150442,150442,9186
110030,110030,9176
291460,291460,9156
170950,170950,9150
314700,314700,9103
280290,280290,9080
352720,352720,9077
411915,411915,9074
120060,120060,9070
280670,280030,9027
313170,313170,9018
210170,210170,9007
211000,211000,8996
315180,315180,8950
314520,314520,8935
291170,291170,8921
150390,150390,8861
355540,355540,8711
150480,150480,8706
420890,420890,8702
291750,291750,8691
420200,420200,8685
291560,291560,8682
420300,420300,8679
311830,311830,8644
355170,355170,8641
261220,261220,8607
290270,290270,8586
150330,150330,8577
320060,320060,8561
293010,293010,8547
280350,280350,8516
130170,130170,8485
313820,313820,8436
210360,210360,8417
150510,150510,8407
353070,353070,8403
411840,411840,8397
293050,293050,8390
230280,230280,8336
316990,316990,8321
220800,220800,8308
314800,314800,8303
355700,355700,8297
330452,330452,8293
353470,353470,8283
313940,313940,8272
261070,260960,8265
410840,410840,8210
210350,210350,8166
110002,110002,8153
291920,291920,8129
351840,351840,8113
354520,354520,8113
211120,211130,8099
410150,410150,8094
314810,314810,8093
270670,270670,8086
330340,330340,8071
521190,521190,8071
230260,230260,8059
350750,350750,8036
330520,330520,8002
230020,230020,7997
313520,313520,7986
410420,410420,7960
211280,211280,7917
230110,230110,7912
430210,430210,7912
330420,330420,7889
314390,314390,7883
291920,292740,7871
317120,310620,7867
330490,330330,7849
231340,231340,7843
330600,330600,7842
211400,211400,7816
352670,352670,7804
210340,210340,7797
432300,432300,7755
251080,251080,7749
160027,160027,7698
355100,354850,7697
270860,270860,7686
350635,350635,7683
411850,411850,7677
350550,350550,7645
350280,350280,7628
150040,150040,7574
260120,260120,7543
220390,220390,7498
312090,312090,7483
352340,352340,7473
316110,316110,7430
280210,280210,7411
431710,431710,7390
231410,231410,7385
150470,150470,7354
150220,150220,7316
521150,521150,7286
260290,260290,7277
330045,330510,7263
291070,291070,7262
270800,270800,7257
410430,410430,7228
261160,260960,7207
430930,431490,7196
315670,310620,7194
270230,270230,7187
421580,421580,7061
314790,314790,7052
231180,231180,7035
410490,410490,7025
110004,110004,7022
330510,330285,7018
354880,354880,7016
290840,290840,6973
421130,421130,6968
500570,500570,6954
430300,430300,6929
330285,330285,6907
330200,330200,6894
230540,230540,6882
130406,130406,6878
230350,230350,6873
430700,430700,6860
