ano,parto,regiao,uf,grupo,criticidade,records
2010,NORMAL,Sudeste,SP,5,0,122717
2011,NORMAL,Sudeste,SP,5,0,120391
2015,NORMAL,Sudeste,SP,5,0,120167
2012,NORMAL,Sudeste,SP,5,0,119160
2017,NORMAL,Sudeste,SP,5,0,116989
2014,NORMAL,Sudeste,SP,5,0,116312
2016,NORMAL,Sudeste,SP,5,0,115209
2013,NORMAL,Sudeste,SP,5,0,114601
2018,NORMAL,Sudeste,SP,5,0,113836
2019,NORMAL,Sudeste,SP,5,0,110212
2012,CESARIANO,Sudeste,SP,5,0,65089
2014,CESARIANO,Sudeste,SP,5,0,64991
2015,CESARIANO,Sudeste,SP,5,0,63723
2013,CESARIANO,Sudeste,SP,5,0,63516
2010,CESARIANO,Sudeste,SP,5,0,63136
2011,CESARIANO,Sudeste,SP,5,0,63049
2017,CESARIANO,Sudeste,SP,5,0,62800
2019,CESARIANO,Sudeste,SP,5,0,62439
2010,NORMAL,Nordeste,BA,1,0,61594
2016,CESARIANO,Sudeste,SP,5,0,60729
2018,CESARIANO,Sudeste,SP,5,0,60398
2011,NORMAL,Nordeste,BA,1,0,57903
2014,NORMAL,Sudeste,RJ,5,0,56700
2015,NORMAL,Sudeste,RJ,5,0,56514
2010,NORMAL,Sudeste,RJ,5,0,53491
2011,NORMAL,Sudeste,RJ,5,0,53048
2016,NORMAL,Sudeste,RJ,5,0,52981
2017,NORMAL,Sudeste,RJ,5,0,52635
2012,NORMAL,Nordeste,BA,1,0,52302
2013,NORMAL,Sudeste,RJ,5,0,52015
2018,NORMAL,Sudeste,RJ,5,0,50813
2015,NORMAL,Nordeste,BA,1,0,50109
2012,NORMAL,Sudeste,RJ,5,0,49341
2019,NORMAL,Sudeste,RJ,5,0,49040
2013,NORMAL,Nordeste,BA,1,0,49003
2014,NORMAL,Nordeste,BA,1,0,48687
2017,NORMAL,Nordeste,BA,1,0,47882
2016,NORMAL,Nordeste,BA,1,0,47294
2018,NORMAL,Nordeste,BA,1,0,45892
2010,NORMAL,Nordeste,MA,1,0,44907
2019,NORMAL,Nordeste,BA,1,0,42030
2011,NORMAL,Nordeste,MA,1,0,41858
2010,NORMAL,Norte,PA,1,0,41304
2012,NORMAL,Nordeste,MA,1,0,39739
2011,NORMAL,Norte,PA,1,0,39465
2014,NORMAL,Nordeste,MA,1,0,38230
2015,NORMAL,Nordeste,MA,1,0,38028
2013,NORMAL,Nordeste,MA,1,0,37903
2015,NORMAL,Norte,PA,1,0,36511
2014,NORMAL,Norte,PA,1,0,36405
2013,NORMAL,Norte,PA,1,0,35823
2018,NORMAL,Norte,PA,1,0,35598
2012,NORMAL,Norte,PA,1,0,35399
2019,NORMAL,Norte,PA,1,0,34853
2017,NORMAL,Norte,PA,1,0,34476
2016,NORMAL,Norte,PA,1,0,34047
2012,NORMAL,Sudeste,SP,4,0,31848
2011,NORMAL,Sudeste,SP,4,0,31765
2016,NORMAL,Nordeste,MA,1,0,31716
