UF,Município,Cód IBGE,Cód Região de Saúde,Nome da Região de Saúde,Grupo
AC,Acrelândia,120001,12002,Baixo Acre e Purus,2
AC,Assis Brasil,120005,12001,Alto Acre,1
AC,Brasiléia,120010,12001,Alto Acre,1
AC,Bujari,120013,12002,Baixo Acre e Purus,2
AC,Capixaba,120017,12002,Baixo Acre e Purus,2
AC,Cruzeiro do Sul,120020,12003,Juruá e Tarauacá/Envira,1
AC,Epitaciolândia,120025,12001,Alto Acre,1
AC,Feijó,120030,12003,Juruá e Tarauacá/Envira,1
AC,Jordão,120032,12002,Baixo Acre e Purus,2
AC,Mâncio Lima,120033,12003,Juruá e Tarauacá/Envira,1
AC,Manoel Urbano,120034,12002,Baixo Acre e Purus,2
AC,Marechal Thaumaturgo,120035,12003,Juruá e Tarauacá/Envira,1
AC,Plácido de Castro,120038,12002,Baixo Acre e Purus,2
AC,Porto Acre,120080,12002,Baixo Acre e Purus,2
AC,Porto Walter,120039,12003,Juruá e Tarauacá/Envira,1
AC,Rio Branco,120040,12002,Baixo Acre e Purus,2
AC,Rodrigues Alves,120042,12003,Juruá e Tarauacá/Envira,1
AC,Santa Rosa do Purus,120043,12002,Baixo Acre e Purus,2
AC,Senador Guiomard,120045,12002,Baixo Acre e Purus,2
AC,Sena Madureira,120050,12002,Baixo Acre e Purus,2
AC,Tarauacá,120060,12003,Juruá e Tarauacá/Envira,1
AC,Xapuri,120070,12001,Alto Acre,1
AL,Água Branca,270010,27010,10ª Região de Saúde,1
AL,Anadia,270020,27005,5ª Região de Saúde,1
AL,Arapiraca,270030,27007,7ª Região de Saúde,1
AL,Atalaia,270040,27004,4ª Região de Saúde,1
AL,Barra de Santo Antônio,270050,27001,1ª Região de Saúde,3
AL,Barra de São Miguel,270060,27001,1ª Região de Saúde,3
AL,Batalha,270070,27007,7ª Região de Saúde,1
AL,Belém,270080,27008,8ª Região de Saúde,1
AL,Belo Monte,270090,27007,7ª Região de Saúde,1
AL,Boca da Mata,270100,27005,5ª Região de Saúde,1
AL,Branquinha,270110,27003,3ª Região de Saúde,1
AL,Cacimbinhas,270120,27008,8ª Região de Saúde,1
AL,Cajueiro,270130,27004,4ª Região de Saúde,1
AL,Campestre,270135,27003,3ª Região de Saúde,1
AL,Campo Alegre,270140,27005,5ª Região de Saúde,1
AL,Campo Grande,270150,27007,7ª Região de Saúde,1
AL,Canapi,270160,27009,9ª Região de Saúde,1
AL,Capela,270170,27004,4ª Região de Saúde,1
AL,Carneiros,270180,27009,9ª Região de Saúde,1
AL,Chã Preta,270190,27004,4ª Região de Saúde,1
AL,Coité do Nóia,270200,27007,7ª Região de Saúde,1
AL,Colônia Leopoldina,270210,27003,3ª Região de Saúde,1
AL,Coqueiro Seco,270220,27001,1ª Região de Saúde,3
AL,Coruripe,270230,27006,6ª Região de Saúde,1
AL,Craíbas,270235,27007,7ª Região de Saúde,1
AL,Delmiro Gouveia,270240,27010,10ª Região de Saúde,1
AL,Dois Riachos,270250,27009,9ª Região de Saúde,1
AL,Estrela de Alagoas,270255,27008,8ª Região de Saúde,1
AL,Feira Grande,270260,27007,7ª Região de Saúde,1
AL,Feliz Deserto,270270,27006,6ª Região de Saúde,1
AL,Flexeiras,270280,27001,1ª Região de Saúde,3
AL,Girau do Ponciano,270290,27007,7ª Região de Saúde,1
AL,Ibateguara,270300,27003,3ª Região de Saúde,1
AL,Igaci,270310,27008,8ª Região de Saúde,1
AL,Igreja Nova,270320,27006,6ª Região de Saúde,1
AL,Inhapi,270330,27010,10ª Região de Saúde,1
AL,Jacaré dos Homens,270340,27007,7ª Região de Saúde,1
AL,Jacuípe,270350,27002,2ª Região de Saúde,1
AL,Japaratinga,270360,27002,2ª Região de Saúde,1
AL,Jaramataia,270370,27007,7ª Região de Saúde,1
AL,Jequiá da Praia,270375,27006,6ª Região de Saúde,1
AL,Joaquim Gomes,270380,27003,3ª Região de Saúde,1
AL,Jundiá,270390,27003,3ª Região de Saúde,1
AL,Junqueiro,270400,27005,5ª Região de Saúde,1
AL,Lagoa da Canoa,270410,27007,7ª Região de Saúde,1
AL,Limoeiro de Anadia,270420,27007,7ª Região de Saúde,1
AL,Maceió,270430,27001,1ª Região de Saúde,3
AL,Major Isidoro,270440,27007,7ª Região de Saúde,1
AL,Maragogi,270450,27002,2ª Região de Saúde,1
AL,Maravilha,270460,27009,9ª Região de Saúde,1
AL,Marechal Deodoro,270470,27001,1ª Região de Saúde,3
AL,Maribondo,270480,27008,8ª Região de Saúde,1
AL,Mar Vermelho,270490,27004,4ª Região de Saúde,1
AL,Mata Grande,270500,27010,10ª Região de Saúde,1
AL,Matriz de Camaragibe,270510,27002,2ª Região de Saúde,1
AL,Messias,270520,27001,1ª Região de Saúde,3
AL,Minador do Negrão,270530,27008,8ª Região de Saúde,1
AL,Monteirópolis,270540,27009,9ª Região de Saúde,1
AL,Murici,270550,27003,3ª Região de Saúde,1
AL,Novo Lino,270560,27003,3ª Região de Saúde,1
