parto,value,records
NORMAL,20,693940
NORMAL,19,693824
NORMAL,21,677401
NORMAL,22,647622
NORMAL,18,639191
NORMAL,23,605746
NORMAL,24,571044
NORMAL,17,547274
NORMAL,25,534187
NORMAL,26,496208
NORMAL,27,459943
NORMAL,28,425174
NORMAL,16,415464
NORMAL,29,388398
CESARIANO,21,379740
CESARIANO,22,379324
CESARIANO,20,371810
CESARIANO,23,369131
CESARIANO,24,358822
NORMAL,30,356942
CESARIANO,19,350310
CESARIANO,25,345104
CESARIANO,26,328117
NORMAL,31,317461
CESARIANO,27,311830
CESARIANO,18,305123
CESARIANO,28,294962
NORMAL,32,279479
CESARIANO,29,276515
CESARIANO,30,259244
CESARIANO,17,250661
NORMAL,15,249810
NORMAL,33,243620
CESARIANO,31,235121
NORMAL,34,211698
CESARIANO,32,210832
CESARIANO,33,185976
CESARIANO,16,184255
NORMAL,35,181794
CESARIANO,34,165145
NORMAL,36,154014
CESARIANO,35,145095
NORMAL,37,126924
CESARIANO,36,124302
CESARIANO,15,110363
CESARIANO,37,102811
NORMAL,38,102347
NORMAL,14,102051
CESARIANO,38,84046
NORMAL,39,80810
CESARIANO,39,67066
NORMAL,40,61060
CESARIANO,40,51225
CESARIANO,14,47655
NORMAL,41,43678
CESARIANO,41,36840
NORMAL,42,29984
NORMAL,13,24728
CESARIANO,42,24661
NORMAL,43,19083
CESARIANO,43,15287
CESARIANO,13,12968
NORMAL,44,11301
CESARIANO,44,8911
NORMAL,45,5992
CESARIANO,45,4722
NORMAL,12,3805
NORMAL,46,3068
CESARIANO,12,2348
CESARIANO,46,2316
NORMAL,47,1482
CESARIANO,47,1047
NORMAL,11,896
NORMAL,48,821
NORMAL,49,581
CESARIANO,48,527
CESARIANO,11,508
NORMAL,10,408
CESARIANO,49,351
NORMAL,50,211
NORMAL,51,176
CESARIANO,10,166
NORMAL,52,163
CESARIANO,50,132
NORMAL,53,130
NORMAL,59,114
NORMAL,60,114
NORMAL,58,105
NORMAL,57,97
CESARIANO,51,93
CESARIANO,52,93
NORMAL,56,89
NORMAL,54,85
NORMAL,55,77
CESARIANO,53,69
CESARIANO,59,65
CESARIANO,55,56
CESARIANO,60,54
CESARIANO,58,52
CESARIANO,57,51
CESARIANO,54,46
CESARIANO,56,38
NORMAL,71,8
NORMAL,68,7
NORMAL,61,6
NORMAL,64,6
NORMAL,62,5
NORMAL,87,5
CESARIANO,61,4
CESARIANO,62,4
CESARIANO,75,4
NORMAL,63,4
NORMAL,66,4
NORMAL,67,4
NORMAL,69,4
NORMAL,72,4
NORMAL,78,4
NORMAL,83,4
NORMAL,86,4
NORMAL,88,4
CESARIANO,63,3
CESARIANO,65,3
CESARIANO,68,3
CESARIANO,77,3
NORMAL,70,3
NORMAL,73,3
NORMAL,74,3
NORMAL,79,3
NORMAL,82,3
CESARIANO,64,2
CESARIANO,67,2
CESARIANO,69,2
CESARIANO,70,2
CESARIANO,73,2
CESARIANO,80,2
CESARIANO,81,2
CESARIANO,91,2
CESARIANO,93,2
NORMAL,75,2
NORMAL,77,2
NORMAL,84,2
NORMAL,90,2
NORMAL,92,2
NORMAL,96,2
NORMAL,98,2
CESARIANO,71,1
CESARIANO,72,1
CESARIANO,74,1
CESARIANO,76,1
CESARIANO,78,1
CESARIANO,86,1
CESARIANO,87,1
CESARIANO,96,1
CESARIANO,98,1
NORMAL,65,1
NORMAL,76,1
NORMAL,81,1
NORMAL,85,1
NORMAL,89,1
NORMAL,91,1
NORMAL,94,1
