parto,value,records
NORMAL,SP,1871043
CESARIANO,SP,1156868
NORMAL,BA,1016935
NORMAL,MG,872297
NORMAL,RJ,757145
CESARIANO,MG,623907
NORMAL,PA,590554
NORMAL,MA,584763
NORMAL,PE,518445
NORMAL,PR,499673
NORMAL,RS,475232
NORMAL,CE,462002
CESARIANO,BA,456095
CESARIANO,PA,430850
CESARIANO,CE,406838
CESARIANO,RS,361873
NORMAL,AM,356173
CESARIANO,PR,346145
NORMAL,SC,299448
CESARIANO,PE,280959
NORMAL,GO,262047
CESARIANO,RJ,254492
NORMAL,AL,214740
NORMAL,PI,208308
CESARIANO,SC,207641
CESARIANO,GO,206924
NORMAL,PB,203921
CESARIANO,AL,190085
CESARIANO,MA,188078
NORMAL,MT,186594
NORMAL,SE,169887
CESARIANO,AM,168713
CESARIANO,PB,167037
NORMAL,ES,162846
CESARIANO,PI,159559
NORMAL,RN,157385
NORMAL,MS,148581
CESARIANO,ES,144411
CESARIANO,RN,143285
CESARIANO,MS,129751
CESARIANO,MT,125113
NORMAL,TO,105726
NORMAL,AP,90059
NORMAL,RO,79051
CESARIANO,TO,73151
NORMAL,AC,69452
CESARIANO,RO,63484
CESARIANO,SE,57903
NORMAL,RR,48416
CESARIANO,AC,31290
CESARIANO,AP,28190
CESARIANO,RR,3395
