database,variavel,type,label,records
sih,ANO_CMPT,count,ANO_CMPT,17109256
sih,ANO_CMPT,count,,0
sih,ANO_CMPT,group,2010,1716548
sih,ANO_CMPT,group,2011,1779066
sih,ANO_CMPT,group,2012,1706876
sih,ANO_CMPT,group,2013,1704516
sih,ANO_CMPT,group,2014,1712405
sih,ANO_CMPT,group,2015,1742679
sih,ANO_CMPT,group,2016,1651587
sih,ANO_CMPT,group,2017,1671748
sih,ANO_CMPT,group,2018,1686291
sih,ANO_CMPT,group,2019,1671147
sih,ANO_CMPT,group,2020,66393
sih,CBOR,count,CBOR,17109256
sih,CBOR,count,,0
sih,CBOR,group,000000,17109035
sih,CBOR,group,223115,1
sih,CBOR,group,225125,22
sih,CBOR,group,225250,172
sih,CBOR,group,252105,10
sih,CBOR,group,352210,2
sih,CBOR,group,354705,1
sih,CBOR,group,510110,1
sih,CBOR,group,512120,1
sih,CBOR,group,515105,8
sih,CBOR,group,764305,1
sih,CBOR,group,791115,1
sih,CBOR,group,848505,1
sih,CNES,count,CNES,17109256
sih,CNES,count,,0
sih,CNES,group,0000027,7
sih,CNES,group,0000094,9156
sih,CNES,group,0000396,904
sih,CNES,group,0000418,28
sih,CNES,group,0000434,1196
sih,CNES,group,0000671,22156
sih,CNES,group,0000701,27075
sih,CNES,group,0002232,101962
sih,CNES,group,0002593,981
sih,CNES,group,0003794,31741
sih,CNES,group,0003816,1
sih,CNES,group,0003840,37459
sih,CNES,group,0003859,13131
sih,CNES,group,0003972,1334
sih,CNES,group,0004073,1
sih,CNES,group,0004081,8583
sih,CNES,group,0004170,18488
sih,CNES,group,0004731,15688
sih,CNES,group,0006564,1089
sih,CNES,group,0007641,19840
sih,CNES,group,0007684,31654
sih,CNES,group,0007900,582
sih,CNES,group,0008036,42476
sih,CNES,group,0008052,1
sih,CNES,group,0008923,2
sih,CNES,group,0009539,15948
sih,CNES,group,0009628,34032
sih,CNES,group,0009709,11752
sih,CNES,group,0009717,16471
sih,CNES,group,0009725,18807
sih,CNES,group,0009768,41835
sih,CNES,group,0010464,20344
sih,CNES,group,0010472,38815
sih,CNES,group,0010480,57228
sih,CNES,group,0010499,35356
sih,CNES,group,0010502,20077
sih,CNES,group,0010510,9254
sih,CNES,group,0010529,30283
sih,CNES,group,0010537,40198
sih,CNES,group,0010545,14544
sih,CNES,group,0010561,1
sih,CNES,group,0011746,7737
sih,CNES,group,0011843,41476
sih,CNES,group,0012505,349
sih,CNES,group,0012521,20024
sih,CNES,group,0013633,13894
sih,CNES,group,0013838,5995
sih,CNES,group,0013846,6776
sih,CNES,group,0014109,12313
sih,CNES,group,0014133,14
