,Arquivo,UF,Ano,Mês,Parto,Linhas,Colunas
369,AC_2008_01_cir_103_198.jay,AC,2008,1,cir,103,198
368,AC_2008_01_nat_546_198.jay,AC,2008,1,nat,546,198
361,AC_2008_02_cir_125_198.jay,AC,2008,2,cir,125,198
360,AC_2008_02_nat_607_198.jay,AC,2008,2,nat,607,198
367,AC_2008_03_cir_199_198.jay,AC,2008,3,cir,199,198
366,AC_2008_03_nat_706_198.jay,AC,2008,3,nat,706,198
357,AC_2008_04_cir_158_198.jay,AC,2008,4,cir,158,198
356,AC_2008_04_nat_643_198.jay,AC,2008,4,nat,643,198
371,AC_2008_05_cir_142_198.jay,AC,2008,5,cir,142,198
370,AC_2008_05_nat_651_198.jay,AC,2008,5,nat,651,198
359,AC_2008_06_cir_207_198.jay,AC,2008,6,cir,207,198
358,AC_2008_06_nat_1023_198.jay,AC,2008,6,nat,1023,198
354,AC_2008_07_cir_400_198.jay,AC,2008,7,cir,400,198
355,AC_2008_07_nat_909_198.jay,AC,2008,7,nat,909,198
364,AC_2008_08_cir_274_198.jay,AC,2008,8,cir,274,198
365,AC_2008_08_nat_788_198.jay,AC,2008,8,nat,788,198
350,AC_2008_09_cir_255_198.jay,AC,2008,9,cir,255,198
351,AC_2008_09_nat_741_198.jay,AC,2008,9,nat,741,198
353,AC_2008_10_cir_201_198.jay,AC,2008,10,cir,201,198
352,AC_2008_10_nat_823_198.jay,AC,2008,10,nat,823,198
373,AC_2008_11_cir_198_198.jay,AC,2008,11,cir,198,198
372,AC_2008_11_nat_701_198.jay,AC,2008,11,nat,701,198
362,AC_2008_12_cir_259_198.jay,AC,2008,12,cir,259,198
363,AC_2008_12_nat_816_198.jay,AC,2008,12,nat,816,198
414,AC_2009_01_cir_223_198.jay,AC,2009,1,cir,223,198
415,AC_2009_01_nat_812_198.jay,AC,2009,1,nat,812,198
406,AC_2009_02_cir_310_198.jay,AC,2009,2,cir,310,198
407,AC_2009_02_nat_820_198.jay,AC,2009,2,nat,820,198
413,AC_2009_03_cir_180_198.jay,AC,2009,3,cir,180,198
412,AC_2009_03_nat_653_198.jay,AC,2009,3,nat,653,198
403,AC_2009_04_cir_300_198.jay,AC,2009,4,cir,300,198
402,AC_2009_04_nat_926_198.jay,AC,2009,4,nat,926,198
416,AC_2009_05_cir_271_198.jay,AC,2009,5,cir,271,198
417,AC_2009_05_nat_796_198.jay,AC,2009,5,nat,796,198
405,AC_2009_06_cir_226_198.jay,AC,2009,6,cir,226,198
